month,building_id,type,location_x,location_y,LP,heat,capacity,occupancy,revenue,opex,profit,cum_profit,payback_hit
19,res_6,commercial,65,97,0.9876332298709428,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_7,commercial,63,96,0.9810385879826962,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_8,commercial,64,96,0.9876332298709428,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_9,commercial,69,97,0.9876332298709428,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_10,commercial,70,97,0.9829182639258613,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_11,commercial,63,95,0.9838594524068611,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_12,commercial,70,96,0.9876332298709428,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_13,commercial,63,94,0.9848015423777292,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_14,commercial,63,93,0.9838594524068611,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_15,commercial,63,92,0.9810385879826962,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_16,commercial,71,96,0.9810385976700926,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_17,commercial,64,91,0.9829182737228441,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_18,commercial,71,95,0.9838594622493056,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_19,commercial,64,92,0.9876332398114636,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_20,commercial,71,94,0.9848015523585532,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_21,commercial,65,91,0.9876332399012082,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_22,industrial,87,49,0.9578438046059568,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
19,res_23,industrial,93,49,0.9578438046059568,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
19,res_24,industrial,97,55,0.9541838856343814,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
19,res_25,industrial,83,55,0.9541838947475383,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
19,res_26,commercial,65,102,0.9369893910265716,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_27,commercial,66,102,0.939683561396389,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_28,commercial,63,101,0.939683561396389,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_29,commercial,68,102,0.939683561396389,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,res_30,commercial,69,102,0.9369893910265716,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,com_1,commercial,67,94,0.9999983023048533,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,com_2,commercial,69,91,0.9876332410717547,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,com_3,commercial,70,91,0.9829182755500203,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,com_4,commercial,68,90,0.9838594636849123,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,com_5,commercial,70,92,0.9876332404075204,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,com_6,commercial,67,90,0.9848015527972324,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,com_7,commercial,71,92,0.9810385983131447,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,com_8,commercial,66,90,0.9838594625182969,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,com_9,commercial,71,93,0.9838594625086273,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
19,com_10,industrial,87,61,0.9578438222282517,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
