month,id,type,location_x,location_y,revenue,opex,profit
3,res_1,residential,129.39358865,74.16550687,0.35,0.2,0.14999999999999997
3,res_2,residential,127.46925456,73.62058639,0.35,0.2,0.14999999999999997
3,res_3,residential,125.54492048,73.07566591,0.35,0.2,0.14999999999999997
3,res_4,residential,121.15133183,73.91015905,0.35,0.2,0.14999999999999997
3,res_5,residential,123.07566591,74.45507952,0.35,0.2,0.14999999999999997
3,res_6,residential,126.92433409,75.54492048,0.556064171939509,0.2,0.35606417193950896
3,res_7,residential,120.60641135,75.83449313,0.5468860372621304,0.2,0.34688603726213035
3,res_8,residential,128.84866817,76.08984095,0.5454416125244708,0.2,0.34544161252447075
3,res_9,residential,128.3037477,78.01417504,0.5503489401998022,0.2,0.3503489401998022
3,res_10,residential,121.98582496,78.3037477,0.5536960264000639,0.2,0.35369602640006387
3,res_11,residential,122.53074544,76.37941361,0.5568242867133183,0.2,0.3568242867133183
3,res_12,residential,117.84237333,113.2494107,0.35,0.2,0.14999999999999997
3,res_13,residential,119.28145397,113.69789855,0.35,0.2,0.14999999999999997
3,res_14,residential,118.62092235,115.7964068,0.35,0.2,0.14999999999999997
3,res_15,residential,120.25402723,116.30536209,0.35,0.2,0.14999999999999997
3,res_16,residential,120.91455885,114.20685383,0.35,0.2,0.14999999999999997
3,res_17,residential,123.01493156,114.86143261,0.35,0.2,0.14999999999999997
3,res_18,residential,123.67546318,112.76292436,0.35,0.2,0.14999999999999997
3,com_1,commercial,125.0,75.0,0.9519999999999998,0.32,0.6319999999999999
3,com_2,commercial,124.45507952,76.92433409,0.9510675391726588,0.32,0.6310675391726588
3,com_3,commercial,123.91015905,78.84866817,0.951510735654358,0.32,0.6315107356543579
3,com_4,commercial,125.83449313,79.39358865,0.9488950336396985,0.32,0.6288950336396986
3,com_5,commercial,126.37941361,77.46925456,0.9497589082426119,0.32,0.6297589082426118
3,com_6,commercial,121.57509047,112.10834558,0.9504833644374231,0.32,0.630483364437423
3,com_7,commercial,118.50290495,111.15090244,0.9453090922971652,0.32,0.6253090922971651
3,com_8,commercial,119.94198558,111.59939029,0.595,0.32,0.27499999999999997
3,res_19,residential,115.7628787,112.60133855,0.35,0.2,0.14999999999999997
3,res_20,residential,117.18184171,115.34791895,0.35,0.2,0.14999999999999997
3,res_21,residential,122.35439995,116.95994086,0.35,0.2,0.14999999999999997
3,res_22,residential,125.11530428,115.51601139,0.35,0.2,0.14999999999999997
3,com_9,commercial,116.42341032,110.5028303,0.9144682967923654,0.32,0.5944682967923653
3,com_10,commercial,125.7758359,113.41750313,0.595,0.32,0.27499999999999997
3,res_23,residential,131.31792273,74.71042734,0.35,0.2,0.14999999999999997
3,res_24,residential,119.22699774,73.36523857,0.35,0.2,0.14999999999999997
3,res_25,residential,118.68207727,75.28957266,0.5301623869598274,0.2,0.3301623869598274
3,res_26,residential,130.77300226,76.63476143,0.5281482052731081,0.2,0.3281482052731081
3,res_27,residential,130.22808178,78.55909551,0.5352077352840006,0.2,0.33520773528400055
3,res_28,residential,120.06149088,77.75882722,0.5413376094420004,0.2,0.34133760944200037
3,res_29,residential,127.75882722,79.93850912,0.5490869795736134,0.2,0.3490869795736134
3,res_30,residential,115.10234708,114.69984681,0.35,0.2,0.14999999999999997
3,com_11,commercial,125.28957266,81.31792273,0.9513610951230052,0.32,0.6313610951230051
3,com_12,commercial,123.36523857,80.77300226,0.9492352630508073,0.32,0.6292352630508073
3,com_13,commercial,121.44090449,80.22808178,0.9342665993899356,0.32,0.6142665993899357
3,com_14,commercial,119.63076781,118.28545662,0.595,0.32,0.27499999999999997
3,res_31,residential,118.13715679,77.21390674,0.5226404153964197,0.2,0.3226404153964197
3,res_32,residential,129.68316131,80.4834296,0.5342748858880012,0.2,0.3342748858880012
3,res_33,residential,119.5165704,79.68316131,0.5429531528844118,0.2,0.3429531528844118
3,res_34,residential,116.81807651,116.9830755,0.35,0.2,0.14999999999999997
3,res_35,residential,117.99930899,117.7749174,0.35,0.2,0.14999999999999997
3,res_36,residential,121.73114052,118.9400354,0.35,0.2,0.14999999999999997
3,res_37,residential,124.45477266,117.61451964,0.35,0.2,0.14999999999999997
3,res_38,residential,127.21567699,116.17059016,0.35,0.2,0.14999999999999997
3,res_39,residential,127.87620861,114.07208191,0.35,0.2,0.14999999999999997
3,com_15,commercial,127.21390674,81.86284321,0.9406345226978389,0.32,0.6206345226978389
3,com_16,commercial,114.28891959,109.83761868,0.8810229284359115,0.32,0.5610229284359114
3,com_17,commercial,113.62838798,111.93612694,0.595,0.32,0.27499999999999997
