month,building_id,type,location_x,location_y,LP,heat,capacity,occupancy,revenue,opex,profit,cum_profit,payback_hit
44,res_15,commercial,83,94,0.846163647957503,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_21,industrial,93,37,0.8047001752317995,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
44,res_22,industrial,87,37,0.8047001752317995,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
44,res_19,industrial,104,43,0.8010330543592705,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
44,com_116,residential,73,25,0.46032420515622197,0.5,10.0,10.0,78.41296820624888,20.0,58.41296820624888,58.41296820624888,False
44,com_119,residential,83,19,0.41577434182855577,0.5,10.0,10.0,76.63097367314224,20.0,56.630973673142236,56.630973673142236,False
44,res_18,residential,62,43,0.545788625581485,0.5,10.0,10.0,81.83154502325941,20.0,61.83154502325941,61.83154502325941,False
44,com_125,residential,52,49,0.38071723062720575,0.5,10.0,10.0,75.22868922508823,20.0,55.22868922508823,55.22868922508823,False
44,com_127,residential,27,94,0.3520449104332587,0.5,10.0,10.0,74.08179641733035,20.0,54.08179641733035,54.08179641733035,False
44,com_1,commercial,67,94,1.0,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_2,commercial,69,91,0.9915532209786939,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_3,commercial,70,91,0.9883234916508672,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_4,commercial,68,90,0.988968594781618,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_5,commercial,70,92,0.9915532209786939,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_6,commercial,67,90,0.9896141190048057,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_7,commercial,71,92,0.9870345475680493,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_8,commercial,66,90,0.988968594781618,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_9,commercial,71,93,0.988968594781618,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_10,industrial,87,61,0.9710638805453199,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
44,com_11,industrial,93,61,0.9710638805453199,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
44,com_12,commercial,71,87,0.9584736134239595,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_13,commercial,66,86,0.9584736134239595,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_14,commercial,65,86,0.9565992052834453,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_15,commercial,72,88,0.9609785390199764,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_16,commercial,73,89,0.9609785390199764,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_17,commercial,63,87,0.9584736134239595,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_18,commercial,74,91,0.9628615286067533,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_20,industrial,76,43,0.8010330543592705,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
44,res_17,commercial,55,55,0.44963735190843107,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_16,commercial,80,103,0.8494829101916146,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_6,commercial,78,106,0.841209057881396,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_8,commercial,51,97,0.841209057881396,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_9,commercial,51,91,0.841209057881396,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_12,commercial,75,108,0.8439580152664523,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_3,commercial,67,98,0.9896141190048057,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_13,commercial,59,108,0.8439580152664523,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_2,commercial,66,98,0.988968594781618,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_4,commercial,68,98,0.988968594781618,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_36,commercial,77,87,0.9073526474742839,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_37,commercial,61,84,0.9150821152063944,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_38,commercial,78,89,0.90913055550764,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_39,commercial,59,85,0.9097239653730739,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_40,commercial,57,87,0.9073526474742839,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_41,commercial,79,92,0.9079448968106851,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,com_42,commercial,79,94,0.9103177625866734,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_11,commercial,83,91,0.841209057881396,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_14,commercial,99,94,0.512649449870095,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_5,commercial,64,97,0.9883234916508672,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_10,commercial,83,97,0.841209057881396,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_7,commercial,56,106,0.841209057881396,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_42,industrial,107,37,0.6703290708387075,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
44,res_35,commercial,91,94,0.6867094631463639,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_40,industrial,97,31,0.6651008811198662,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
44,res_46,commercial,62,88,0.9609785390199764,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_44,commercial,61,89,0.9609785390199764,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_31,industrial,69,43,0.6826885692309161,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
44,res_32,commercial,45,104,0.6831341699986657,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_34,commercial,43,94,0.6867094631463639,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_37,commercial,48,108,0.6952759612086952,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_43,industrial,73,37,0.6703290708387075,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
44,res_38,commercial,44,99,0.6966383013431399,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_27,commercial,96,107,0.517353913997706,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_28,commercial,38,107,0.517353913997706,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_29,industrial,69,55,0.7499444964153531,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
44,res_33,commercial,89,104,0.6831341699986657,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_45,commercial,75,92,0.9565992052834453,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_41,industrial,83,31,0.6651008811198662,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
44,res_26,commercial,98,101,0.517353913997706,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
44,res_30,industrial,100,37,0.7583096206358861,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
