month,id,type,location_x,location_y,revenue,opex,profit
32,res_1,commercial,129.39358865,74.16550687,1.0985338272130984,0.32,0.7785338272130984
32,res_2,commercial,127.46925456,73.62058639,1.103089611364612,0.32,0.783089611364612
32,res_3,commercial,125.54492048,73.07566591,1.103089611364612,0.32,0.783089611364612
32,res_4,commercial,121.15133183,73.91015905,1.0985338272130984,0.32,0.7785338272130984
32,res_5,commercial,123.07566591,74.45507952,1.103089611364612,0.32,0.783089611364612
32,res_6,commercial,126.92433409,75.54492048,1.103089611364612,0.32,0.783089611364612
32,res_7,commercial,120.60641135,75.83449313,1.0985338272130984,0.32,0.7785338272130984
32,res_8,commercial,128.84866817,76.08984095,1.0985338272130984,0.32,0.7785338272130984
32,res_9,commercial,128.3037477,78.01417504,1.098156027690734,0.32,0.778156027690734
32,res_10,commercial,121.98582496,78.3037477,1.098156027690734,0.32,0.778156027690734
32,res_11,commercial,122.53074544,76.37941361,1.103089611364612,0.32,0.783089611364612
32,res_12,commercial,117.84237333,113.2494107,1.101186379495789,0.32,0.781186379495789
32,res_13,commercial,119.28145397,113.69789855,1.1019468151496634,0.32,0.7819468151496634
32,res_14,commercial,118.62092235,115.7964068,1.0974012789034722,0.32,0.7774012789034721
32,res_15,commercial,120.25402723,116.30536209,1.0985338272130984,0.32,0.7785338272130984
32,res_16,commercial,120.91455885,114.20685383,1.103471115690552,0.32,0.7834711156905518
32,res_17,commercial,123.01493156,114.86143261,1.100047864463757,0.32,0.780047864463757
32,res_18,commercial,123.67546318,112.76292436,1.101186379495789,0.32,0.781186379495789
32,com_1,commercial,125.0,75.0,1.1049999999999869,0.32,0.7849999999999868
32,com_2,commercial,124.45507952,76.92433409,1.103089611364612,0.32,0.783089611364612
32,com_3,commercial,123.91015905,78.84866817,1.0985338272130984,0.32,0.7785338272130984
32,com_4,commercial,125.83449313,79.39358865,1.0985338272130984,0.32,0.7785338272130984
32,com_5,commercial,126.37941361,77.46925456,1.103089611364612,0.32,0.783089611364612
32,com_6,commercial,121.57509047,112.10834558,1.104617348441145,0.32,0.784617348441145
32,com_7,commercial,118.50290495,111.15090244,1.103089611364612,0.32,0.783089611364612
32,com_8,commercial,119.94198558,111.59939029,1.1046173484411448,0.32,0.7846173484411447
32,res_19,commercial,115.7628787,112.60133855,1.0951438193038947,0.32,0.7751438193038946
32,res_20,commercial,117.18184171,115.34791895,1.095519356853618,0.32,0.7755193568536178
32,res_21,commercial,122.35439995,116.95994086,1.0951438193038947,0.32,0.7751438193038946
32,res_22,commercial,125.11530428,115.51601139,1.0928965042537138,0.32,0.7728965042537137
32,com_9,commercial,116.42341032,110.5028303,1.095143819303895,0.32,0.7751438193038949
32,com_10,commercial,125.7758359,113.41750313,1.0951438193038947,0.32,0.7751438193038946
32,res_23,commercial,131.31792273,74.71042734,1.0914039075579411,0.32,0.7714039075579411
32,res_24,commercial,119.22699774,73.36523857,1.0899157858252335,0.32,0.7699157858252335
32,res_25,commercial,132.18664071,93.66419554,0.9699070644866501,0.32,0.64990706448665
32,res_26,commercial,112.25776645,130.41942384,0.9713166511030371,0.32,0.651316651103037
32,res_27,commercial,117.85177209,132.14193789,0.9701885587372359,0.32,0.6501885587372358
32,res_28,commercial,109.63955215,85.20081575,0.994604616971143,0.32,0.674604616971143
32,res_29,commercial,132.73156119,91.73986146,0.9862942876028363,0.32,0.6662942876028364
32,res_30,commercial,117.66144756,129.95018595,0.9922123876065916,0.32,0.6722123876065915
32,com_11,commercial,125.28957266,81.31792273,1.0914039075579414,0.32,0.7714039075579413
32,com_12,commercial,123.36523857,80.77300226,1.0899157858252335,0.32,0.7699157858252335
32,com_13,commercial,121.44090449,80.22808178,1.0895444530317524,0.32,0.7695444530317523
32,com_14,commercial,119.63076781,118.28545662,1.0910314581217984,0.32,0.7710314581217983
32,res_31,commercial,102.89309709,113.06918051,0.9946046169711428,0.32,0.6746046169711428
32,res_32,commercial,103.79289432,117.53798633,0.9946046169711428,0.32,0.6746046169711428
32,res_33,commercial,107.92690207,124.31416136,0.9982200045434352,0.32,0.6782200045434352
32,res_34,commercial,105.04448693,120.20821815,0.9961070717736387,0.32,0.6761070717736386
32,res_35,commercial,119.18747503,129.81767074,0.9937058470782755,0.32,0.6737058470782755
32,res_36,commercial,109.53759501,125.6171911,0.9970112550942992,0.32,0.6770112550942993
32,res_37,commercial,121.14736047,129.64748073,0.9949046569825826,0.32,0.6749046569825825
32,res_38,commercial,130.26230662,93.11927507,0.9874708105685759,0.32,0.6674708105685758
32,res_39,commercial,103.14842681,119.58545891,0.976149011549758,0.32,0.6561490115497579
32,com_15,commercial,127.21390674,81.86284321,1.0851101335142852,0.32,0.7651101335142851
32,com_16,commercial,114.28891959,109.83761868,1.0851101335142852,0.32,0.7651101335142851
32,com_17,commercial,113.62838798,111.93612694,1.0865838040754725,0.32,0.7665838040754724
32,res_40,commercial,104.58688282,122.33369889,0.9854142107179894,0.32,0.6654142107179895
32,res_41,commercial,102.07651542,108.33599894,0.9793088530971057,0.32,0.6593088530971056
32,res_42,commercial,109.04200435,126.89093314,0.9816233626809281,0.32,0.661623362680928
32,res_43,commercial,102.34659558,114.80541523,0.9813332883234062,0.32,0.6613332883234062
32,res_44,commercial,117.59223631,79.13824083,1.0807155781680842,0.32,0.7607155781680841
32,res_45,commercial,129.13824083,82.40776369,1.0807155781680842,0.32,0.7607155781680841
32,res_46,commercial,112.96785636,114.03463519,1.0796231106218022,0.32,0.7596231106218021
32,res_47,commercial,111.56388624,85.74573622,1.005241188122199,0.32,0.6852411881221989
