x,y
125.93145284026919,129.82678666450263
124.91200620532314,124.36405061728219
113.27166025975284,124.99310910365449
123.08657177948339,126.45491858149336
113.57456928044182,127.34821759842924
123.34124280805764,124.35226609967923
116.52985016558236,121.89524282306182
127.58777092134622,129.96759762099384
120.11227444539004,127.39089944702324
119.65470098876037,123.49096549729167
112.91000586099271,120.65343382087615
120.93547906481474,128.89587330429796
123.05361722314929,128.30701560791766
119.62613725083115,129.86540050503848
127.40361316186487,128.00678519958987
119.05044149381747,124.81468799647863
124.06627504867349,129.72972739992733
124.11682497574098,122.45713371794713
117.35904294004558,123.83974981793455
124.50183754832038,131.45307659933061
125.88984639046625,126.06690893755085
126.71025791303902,123.5507592418475
114.99515499796138,120.99695663877945
128.30113228185672,126.51209903510444
116.69663847981768,127.18001423203101
118.38712681469195,128.30153728467891
114.79174146456418,119.10226110964567
121.57597612143728,125.1262737426034
116.97337237555811,125.62054644765055
121.33098553007714,130.5377384961318
124.85337734534745,127.80427378359833
120.09195439533373,121.73764167797374
122.3941487643363,126.36044226450531
114.81711396633351,126.17716369457233
114.64222071834605,123.54318150876806
121.75998412897727,122.37050936170543
127.95809868660953,124.67646744911751
113.35259518004827,122.55655193007625
119.21537413594463,125.81004488992279
116.63954230721949,129.08396631923063
118.12110176387823,121.93183989574318
