episode_id,total_return,edu_return,ind_return,episode_length,final_kl_divergence,final_clip_fraction
0,30.530168754929093,19.448207144335846,11.081961610593247,30,0.0,0.0
1,31.085236354187515,19.684685878384673,11.40055047580284,30,0.0,0.0
2,31.744974342432716,20.091223047141572,11.653751295291144,30,0.0,0.0
3,31.186413948207424,20.316972816122412,10.86944113208501,30,0.0,0.0
4,31.677747309730144,20.202073200183534,11.475674109546608,30,0.0,0.0
5,31.095333796859205,20.40126468503829,10.694069111820916,30,0.0,0.0
6,31.574861868790556,20.143918167253226,11.430943701537332,30,0.0,0.0
7,30.681882477054607,20.069005369467558,10.612877107587048,30,0.0,0.0
8,30.7955968830082,19.918770575719456,10.876826307288743,30,0.0,0.0
9,31.503598781800143,20.091522018289318,11.412076763510827,30,0.0,0.0
