update_id,avg_policy_loss,avg_value_loss,avg_kl_divergence,avg_clip_fraction,avg_entropy,final_advantages_mean,final_advantages_std
0,-10.133576512336731,20.98369312286377,0.0011694425057271474,0.008333333767950535,3.7589567601680756,9.822507858276367,0.7946929931640625
1,-8.993134617805481,42.291632652282715,0.009406747994944453,0.2666666740551591,3.763707935810089,8.791019439697266,3.220780372619629
2,-5.989504754543304,132.31190490722656,0.013049324275925756,0.49166668206453323,3.763073682785034,5.767648696899414,6.983506679534912
3,-0.30355559289455414,414.0960350036621,0.006030430144164711,0.1625000024214387,3.7499991357326508,0.31904736161231995,8.859917640686035
4,2.150263100862503,1465.7960510253906,0.001229783001690521,0.0,3.771809220314026,-2.0697438716888428,9.513774871826172
5,3.3566803634166718,3496.6561889648438,8.711818099982338e-05,0.0,3.754745662212372,-3.3405110836029053,9.126219749450684
6,3.4576010406017303,8204.677612304688,3.0185567993612494e-05,0.0,3.761754125356674,-3.4629828929901123,9.427711486816406
7,3.2740288078784943,16759.9423828125,0.00012315894946368644,0.0,3.741026669740677,-3.2898178100585938,9.159256935119629
8,3.9718138575553894,31009.27685546875,0.00017464890879637096,0.0,3.764870047569275,-4.0,9.321831703186035
9,4.5749834179878235,53717.92724609375,0.00036013557109981775,0.0,3.7600829005241394,-4.666666507720947,8.995529174804688
10,3.891534388065338,90579.560546875,0.0005851964742760174,0.0,3.7676695585250854,-4.0,9.321831703186035
11,4.485589504241943,143262.060546875,0.0012336761064943857,0.0,3.759386420249939,-4.666666507720947,8.995529174804688
12,4.407780408859253,251499.546875,0.0026592297945171595,0.0,3.7596013247966766,-4.666666507720947,8.995529174804688
13,4.327311098575592,353004.83984375,0.005389223690144718,0.1416666698642075,3.753266394138336,-4.666666507720947,8.995529174804688
14,4.473383367061615,544725.140625,0.0052057194407097995,0.09583333507180214,3.741067051887512,-4.689427375793457,8.957924842834473
15,5.519801437854767,682172.125,0.01100918697193265,0.4166666716337204,3.7652997970581055,-6.0,8.136761665344238
