episode_id,total_return,edu_return,ind_return,episode_length,final_kl_divergence,final_clip_fraction
0,11.124447717484546,6.228912235428133,4.895535482056414,30,0.0,0.0
1,11.441255649689962,6.651018599215114,4.790237050474849,30,0.0,0.0
2,11.525773973074834,6.30217955320543,5.223594419869405,30,0.0,0.0
3,11.351008807612,6.195841925565937,5.155166882046063,30,0.0,0.0
4,11.525773973074834,6.30217955320543,5.223594419869405,30,0.0,0.0
5,11.351008807612,6.195841925565937,5.155166882046063,30,0.0,0.0
6,11.525773973074834,6.30217955320543,5.223594419869405,30,0.0,0.0
7,11.351008807612,6.195841925565937,5.155166882046063,30,0.0,0.0
8,11.525773973074834,6.30217955320543,5.223594419869405,30,0.0,0.0
9,11.351008807612,6.195841925565937,5.155166882046063,30,0.0,0.0
