update_id,avg_policy_loss,avg_value_loss,avg_kl_divergence,avg_clip_fraction,avg_entropy,final_advantages_mean,final_advantages_std
0,-10.036046266555786,20.14987301826477,0.0012223885138951118,0.012500000186264515,3.763497054576874,9.725385665893555,1.0390475988388062
1,-9.44922947883606,37.22122526168823,0.012419721635524184,0.3833333384245634,3.750979423522949,9.096840858459473,2.870516538619995
2,-6.827889323234558,99.03984355926514,0.012086246744729578,0.4333333373069763,3.7458284497261047,6.660583019256592,5.717020511627197
3,-3.1923190653324127,329.72042083740234,0.007434702507453039,0.22083333740010858,3.7608889639377594,3.1801021099090576,8.223854064941406
4,0.46029067412018776,1018.0787887573242,0.0016660415567457676,0.0,3.7554255723953247,-0.4410150647163391,9.375517845153809
5,2.7908509969711304,2732.7153930664062,0.0007228415979625424,0.0,3.7424106001853943,-2.748061180114746,9.062500953674316
6,4.824145138263702,6090.6405029296875,8.690920549270231e-05,0.0,3.7594668567180634,-4.795466899871826,8.628670692443848
7,4.014722943305969,13215.442260742188,0.00011279208501946414,0.0,3.7432698905467987,-4.035799980163574,8.859403610229492
8,5.707307755947113,23964.21923828125,0.0002446244689053856,0.0,3.759428530931473,-5.788502216339111,8.015856742858887
9,4.543310821056366,44200.67919921875,0.0006666089902864769,0.0,3.7429473102092743,-4.666666507720947,8.995529174804688
