episode_id,total_return,edu_return,ind_return,episode_length,final_kl_divergence,final_clip_fraction
0,11.864587874951628,6.387740203039613,5.476847671912014,30,0.0,0.0
1,11.686174226920201,6.252228698728587,5.433945528191614,30,0.0,0.0
2,11.483326162926591,6.603848713919568,4.879477449007022,30,0.0,0.0
3,11.407481364718656,5.949250059217051,5.458231305501606,30,0.0,0.0
4,11.483326162926591,6.603848713919568,4.879477449007022,30,0.0,0.0
5,11.407481364718656,5.949250059217051,5.458231305501606,30,0.0,0.0
6,11.483326162926591,6.603848713919568,4.879477449007022,30,0.0,0.0
7,11.407481364718656,5.949250059217051,5.458231305501606,30,0.0,0.0
8,11.483326162926591,6.603848713919568,4.879477449007022,30,0.0,0.0
9,11.407481364718656,5.949250059217051,5.458231305501606,30,0.0,0.0
