episode_id,total_return,edu_return,ind_return,episode_length,final_kl_divergence,final_clip_fraction
0,31.67915302277574,20.337855149907064,11.341297872868676,30,0.0,0.0
1,31.428338637076422,20.499535913181106,10.928802723895316,30,0.0,0.0
2,32.362907780129625,20.504136072457186,11.858771707672437,30,0.0,0.0
3,31.118046100832547,20.195986877423618,10.92205922340893,30,0.0,0.0
4,32.36290131889264,20.50413488083561,11.858766438057025,30,0.0,0.0
5,31.11803999607578,20.195985688185292,10.922054307890487,30,0.0,0.0
6,31.422865235473672,20.063917439390256,11.358947796083415,30,0.0,0.0
7,31.29789702424443,20.09236592283632,11.205531101408113,30,0.0,0.0
8,31.422859114733683,20.063916257273085,11.358942857460596,30,0.0,0.0
9,31.29789067979534,20.092364743083387,11.205525936711954,30,0.0,0.0
10,31.281349763423886,19.861096835502963,11.420252927920924,30,0.0,0.0
11,31.58976132239011,20.19103377395599,11.398727548434119,30,0.0,0.0
12,31.281343404845906,19.861095662814392,11.420247742031515,30,0.0,0.0
13,31.589755496681825,20.191032603612808,11.398722893069015,30,0.0,0.0
14,31.281337071676816,19.861094494811898,11.42024257686492,30,0.0,0.0
15,31.589749694253065,20.191031437946314,11.39871825630675,30,0.0,0.0
16,31.28133076381507,19.86109333147674,11.420237432338329,30,0.0,0.0
17,31.589743915010814,20.191030276937827,11.398713638072987,30,0.0,0.0
18,31.28132448115954,19.861092172790272,11.420232308369268,30,0.0,0.0
19,31.58973815886242,20.191029120568736,11.398709038293685,30,0.0,0.0
20,31.68799484279978,19.76476919477753,11.923225648022251,30,0.0,0.0
21,31.564646311465836,20.747331191188852,10.817315120276984,30,0.0,0.0
22,31.687988840143863,19.76476804533278,11.923220794811083,30,0.0,0.0
23,31.5646405502444,20.747330044042993,10.817310506201407,30,0.0,0.0
24,31.05250532749409,19.848477774383383,11.204027553110704,30,0.0,0.0
25,30.456520182016185,19.89435401343646,10.562166168579726,30,0.0,0.0
26,31.052499828826242,19.848476634106643,11.204023194719602,30,0.0,0.0
27,30.456514795500887,19.89435287544027,10.562161920060618,30,0.0,0.0
28,31.05249435213107,19.848475498386446,11.204018853744625,30,0.0,0.0
29,30.45650943051011,19.894351741991514,10.562157688518594,30,0.0,0.0
30,31.05248889732077,19.848474367204584,11.204014530116186,30,0.0,0.0
31,30.45650408695783,19.894350613072017,10.562153473885811,30,0.0,0.0
32,31.052483464307898,19.84847324054293,11.204010223764968,30,0.0,0.0
33,30.45649876475839,19.89434948866369,10.5621492760947,30,0.0,0.0
34,31.05247805300534,19.848472118383413,11.204005934621929,30,0.0,0.0
35,30.456493463826455,19.89434836874849,10.562145095077966,30,0.0,0.0
36,31.05247266332635,19.848471000708045,11.204001662618305,30,0.0,0.0
37,30.456488184077045,19.894347253308474,10.562140930768573,30,0.0,0.0
38,31.388733132843544,20.61321373295312,10.775519399890424,30,0.0,0.0
39,31.153722622976467,20.0993498278556,11.054372795120864,30,0.0,0.0
40,31.388727613678913,20.61321262419237,10.775514989486542,30,0.0,0.0
41,30.52699055967902,20.160616250845884,10.366374308833139,30,0.0,0.0
42,31.38872211656886,20.613211519862226,10.775510596706635,30,0.0,0.0
43,30.52698534297066,20.160615148724396,10.366370194246265,30,0.0,0.0
44,31.388716641425262,20.613210419944984,10.775506221480276,30,0.0,0.0
45,30.526980147108276,20.160614051006995,10.36636609610128,30,0.0,0.0
46,31.388711188160332,20.61320932442301,10.775501863737322,30,0.0,0.0
47,30.52697497200855,20.160612957676065,10.366362014332484,30,0.0,0.0
48,31.388705756686647,20.613208233278744,10.775497523407905,30,0.0,0.0
49,30.526969817588522,20.16061186871409,10.366357948874432,30,0.0,0.0
