episode_id,total_return,edu_return,ind_return,episode_length,final_kl_divergence,final_clip_fraction
0,12.126366481083107,6.562628128479875,5.563738352603231,30,0.0,0.0
1,11.276083969150339,6.2111427792513725,5.064941189898967,30,0.0,0.0
2,11.723942770739797,6.409016934149629,5.314925836590168,30,0.0,0.0
3,11.568668417686931,6.3213967891194205,5.2472716285675105,30,0.0,0.0
4,11.723942770739797,6.409016934149629,5.314925836590168,30,0.0,0.0
5,11.568668417686931,6.3213967891194205,5.2472716285675105,30,0.0,0.0
6,11.723942770739797,6.409016934149629,5.314925836590168,30,0.0,0.0
7,11.568668417686931,6.3213967891194205,5.2472716285675105,30,0.0,0.0
8,11.723942770739797,6.409016934149629,5.314925836590168,30,0.0,0.0
9,11.568668417686931,6.3213967891194205,5.2472716285675105,30,0.0,0.0
