episode_id,total_return,edu_return,ind_return,episode_length,final_kl_divergence,final_clip_fraction
0,30.837909055938365,19.989346895062905,10.84856216087546,30,0.0,0.0
1,31.470246891356844,19.380666382527835,12.08958050882901,30,0.0,0.0
2,31.572599498467973,20.40631234497398,11.166287153493993,30,0.0,0.0
3,30.521292999512255,19.88361655374288,10.637676445769378,30,0.0,0.0
4,31.572165433269724,20.406303076677933,11.165862356591791,30,0.0,0.0
5,31.137128276539315,19.89303733478863,11.244090941750686,30,0.0,0.0
6,31.294259845465536,19.872306378558477,11.421953466907059,30,0.0,0.0
7,32.08765283909615,20.001486184404527,12.08616665469162,30,0.0,0.0
8,31.622234327082637,19.848497410508777,11.773736916573862,30,0.0,0.0
9,31.31464102256652,19.722224666062537,11.592416356503982,30,0.0,0.0
