update_id,avg_policy_loss,avg_value_loss,avg_kl_divergence,avg_clip_fraction,avg_entropy,final_advantages_mean,final_advantages_std
0,-10.043708086013794,18.64859652519226,0.0008640842427212192,0.0,3.7693817913532257,9.751707077026367,0.9638420939445496
1,-9.515073895454407,39.568275451660156,0.011072444031015038,0.37083333637565374,3.7603305280208588,9.03764820098877,2.9205174446105957
2,-6.514922082424164,103.84828281402588,0.0181537508033216,0.6375000104308128,3.741926908493042,6.631521701812744,6.315806865692139
3,-2.2606063783168793,343.47367095947266,0.0068659404932986945,0.2000000039115548,3.7526228427886963,2.2570929527282715,8.989480018615723
4,2.1669402718544006,1024.0569152832031,0.0016714821322239004,0.0,3.7571164965629578,-2.0966079235076904,9.481477737426758
5,3.7753374576568604,2835.2979431152344,0.0002749025525190518,0.0,3.7610799074172974,-3.7336623668670654,8.873054504394531
6,4.552067458629608,6634.631591796875,6.61608028167393e-05,0.0,3.765153706073761,-4.558587551116943,8.514410018920898
7,5.010820806026459,13902.2333984375,0.00016506864267284982,0.0,3.756723314523697,-5.018588066101074,8.511140823364258
8,4.602809011936188,25145.959716796875,0.00046713105257367715,0.0,3.763458162546158,-4.702974319458008,8.936293601989746
9,4.879574954509735,47099.83984375,0.0014444436092162505,0.012500000651925802,3.755841463804245,-5.017637729644775,8.600279808044434
