episode_id,total_return,edu_return,ind_return,episode_length,final_kl_divergence,final_clip_fraction
0,17.48653027277073,9.299212123907832,8.187318148862897,14,0.0,0.0
0,16.907246193321207,8.651653311823637,8.255592881497572,14,0.0,0.0
1,16.87908202519266,8.797535973393648,8.081546051799009,14,0.0,0.0
1,17.1436090410983,9.090161948446871,8.053447092651432,14,0.0,0.0
2,16.853700369162148,8.66431102632059,8.189389342841558,14,0.0,0.0
2,17.59473912563765,9.538156384659013,8.056582740978635,14,0.0,0.0
3,16.947232242288536,8.809572840619138,8.137659401669396,14,0.0,0.0
3,17.225753547401254,9.097651446410081,8.128102100991175,14,0.0,0.0
4,16.853263523475086,8.664306701115766,8.18895682235932,14,0.0,0.0
4,17.594302279950583,9.53815205945419,8.056150220496395,14,0.0,0.0
5,16.94679976505834,8.809568558666363,8.137231206391977,14,0.0,0.0
5,17.2473033735167,9.095499479881756,8.151803893634945,14,0.0,0.0
6,16.9145425291632,8.773411699898286,8.141130829264911,14,0.0,0.0
6,17.637113808803498,9.514663563006458,8.12245024579704,14,0.0,0.0
7,17.1509425451642,9.014131012963615,8.136811532200582,14,0.0,0.0
7,17.250831699925435,9.099447480481887,8.15138421944355,14,0.0,0.0
8,16.91412289693922,8.773407545123792,8.140715351815428,14,0.0,0.0
8,17.636694176579518,9.514659408231962,8.122034768347556,14,0.0,0.0
9,17.150527109262455,9.014126899736864,8.136400209525592,14,0.0,0.0
9,17.2504162640237,9.099443367255137,8.150972896768561,14,0.0,0.0
