x,y
144.044952101656,126.59063624112339
135.0821913430263,130.4695067124536
136.4696526765831,127.10530667908867
139.8712664802713,132.10452249276665
132.49803267260455,132.0683997622867
131.5516498428171,126.15550636182482
145.7381764059825,126.53824097202951
147.54859562530413,132.64556235141455
145.75156623562452,132.80619250819862
137.57293187303966,128.43070791630322
129.75003033732696,125.93587880744187
133.28753992651144,126.85431056846332
133.97544730343458,128.85288909613922
147.56657426468504,130.80202224199093
141.471109135228,129.54632541170807
143.0481350816412,131.88419208537695
138.6300362422139,133.06837725645929
132.81629677443266,129.98617134851676
141.7390530087312,132.98502714999032
143.77152933224923,128.45732964795175
134.3141020066247,124.92797038082769
129.69229713442044,130.6279530917386
136.7000675834813,125.04636838574642
147.44074020089622,129.17212078680714
142.24470234087084,125.66449171035737
139.08396717363584,124.85822261630409
144.62960422486714,131.86520952924477
132.06954328219612,128.10968031181366
136.4009005145122,131.38469001306999
147.58546893801855,125.79535245429183
137.91341635976326,126.20685923229271
134.87710244248973,126.83011419714491
131.33359711638045,130.54093207601724
145.47804440713622,129.36883393734684
134.108783957676,131.58721454660923
139.67088789696697,126.21894353113042
138.17028948928635,130.65807031661657
139.42841014954013,129.0646775824776
130.4889031547556,128.47836296903745
143.7150738062978,130.15598096135932
135.98160646790308,132.83668352865
143.008105085634,124.49210935291568
144.91375700457186,124.60219520764929
132.9671053801388,124.85290727328706
138.95290950403344,127.5357501291375
141.48835313254233,131.31966365170166
129.1416414348986,127.50552354481792
129.99809991772764,124.28921464829726
142.34703328247872,127.79765810115498
135.5543413787407,124.69759240343899
139.8834982227098,130.48187019957717
140.88775140311373,127.68905482341883
137.43319745191945,132.59220619342696
135.49690330693937,128.57025605175497
129.49731697427828,132.22358770336024
133.91290051616647,133.0590849084693
136.72583293738214,129.72539717931636
147.444816958742,127.54345919841913
140.91330788484348,125.55077722035176
