slot_id,x,y,angle_deg
s_176,134.255692,134.477580,179.64
s_177,141.267773,140.235554,4.70
s_178,126.032089,134.682361,189.53
s_179,135.355401,135.409262,189.96
s_180,144.744715,138.064521,340.30
s_181,139.484635,135.215421,185.13
s_182,136.254297,138.260395,179.76
s_183,128.287717,133.814311,183.34
s_184,148.456119,136.081194,264.25
s_185,139.282973,142.380910,7.55
s_186,133.693172,136.592391,185.15
s_187,123.504443,134.391592,189.87
s_188,142.486298,141.010489,2.14
s_189,148.860692,140.468445,278.56
s_190,138.807718,137.758339,200.43
s_191,148.886797,138.263413,261.85
s_192,144.998191,142.615932,358.92
s_193,143.488823,136.064711,186.46
s_194,147.233630,138.375734,324.76
s_195,146.917015,139.693139,350.96
s_196,123.491185,136.056607,190.10
s_197,121.225363,135.290002,192.77
s_198,131.821984,136.457890,181.67
s_199,149.020174,142.596731,8.64
s_200,137.514023,135.024977,185.27
s_201,143.475521,139.627523,4.74
s_202,140.596100,143.039686,8.42
s_203,132.210277,137.773577,184.11
s_204,127.474546,135.915641,189.25
s_205,135.718116,142.513473,15.01
s_206,137.802488,142.319932,10.23
s_207,146.277448,141.018853,4.04
s_208,134.269764,138.089759,182.71
s_209,141.325189,135.177614,180.26
s_210,129.664720,134.713540,194.88
s_211,131.946528,135.255990,186.12
s_212,143.208990,143.402081,10.51
s_213,130.300233,137.237594,189.94
s_214,141.055767,136.868289,205.42
s_215,142.747226,142.204522,1.55
s_216,142.565504,137.855014,291.03
s_217,145.041204,136.535185,239.37
s_218,137.665156,136.868331,184.69
s_219,135.985844,136.671870,179.56
s_220,139.487193,140.125404,11.51
s_221,125.636597,136.343830,183.82
s_222,143.412610,134.560296,189.01
s_223,140.336224,138.477342,207.18
s_224,147.797378,134.490187,242.22
s_225,145.873444,134.970668,234.41
s_226,145.126420,139.928994,5.94
s_227,146.895237,142.699025,357.62
s_228,131.569945,134.128963,190.72
s_229,120.112162,116.614759,194.18
s_230,116.254469,116.936456,202.71
s_231,116.863365,108.967726,218.19
s_232,106.484196,111.355216,201.27
s_233,109.143844,115.147955,187.22
s_234,116.353957,110.326482,200.26
s_235,123.163697,111.812606,207.47
s_236,117.965600,110.843773,201.83
s_237,121.585404,110.503272,208.74
s_238,112.065780,112.829958,203.68
s_239,124.644214,112.481758,203.93
s_240,116.349921,111.979552,199.89
s_241,112.471554,107.294658,215.49
s_242,118.064090,112.446652,200.17
s_243,108.931834,110.046257,202.50
s_244,114.989189,108.431556,209.72
s_245,110.582593,113.173300,207.50
s_246,114.350527,114.726970,201.11
s_247,108.214202,111.744135,200.81
s_248,118.089554,117.212221,202.56
s_249,118.713399,116.002741,200.01
s_250,112.955988,111.498642,204.25
s_251,124.981889,120.800945,182.36
s_252,123.172239,119.006217,201.92
s_253,119.337470,109.811752,208.30
s_254,122.381050,120.091593,199.41
s_255,117.087562,113.745634,200.44
s_256,111.895870,114.432538,198.25
s_257,114.816727,111.716268,201.54
s_258,118.869953,114.406063,197.79
s_259,115.263652,117.720333,201.51
s_260,109.208305,108.132617,207.88
s_261,115.333032,113.460897,204.98
s_262,119.208531,118.812350,199.02
s_263,119.811460,111.361683,197.11
s_264,121.617860,113.676860,199.68
s_265,113.670849,113.073570,200.57
s_266,121.357336,112.102638,197.53
s_267,120.782320,119.672935,195.60
s_268,110.496460,109.490222,205.13
s_269,113.351022,115.401413,208.29
s_270,120.828914,118.103913,199.69
s_271,109.923819,111.671797,202.61
s_272,107.186720,109.779346,202.30
s_273,109.956423,114.249806,200.67
s_274,107.088187,108.279126,199.82
s_275,120.719294,115.045836,196.74
s_276,126.399998,112.719749,206.62
s_277,113.798066,116.959819,202.40
s_278,115.664046,115.304946,199.86
s_279,113.141732,109.534018,204.08
s_280,119.722773,113.098998,197.03
s_281,117.142750,115.364412,201.68
s_282,117.401910,118.388559,189.70
s_283,123.645661,113.829234,192.74
s_284,112.069677,108.686393,203.54
s_285,111.953893,116.122404,207.60
s_286,111.495569,110.925330,202.19
s_287,114.329603,110.312668,204.47
s_288,120.506485,121.663223,191.50
s_289,103.751503,118.060783,202.53
s_290,112.984122,118.744536,193.66
s_291,109.043543,122.877023,201.61
s_292,106.309667,117.365850,207.12
s_293,118.726512,120.660860,197.39
s_294,111.008664,126.411541,203.45
s_295,116.023181,126.707671,196.67
s_296,111.653345,119.814349,204.58
s_297,110.886419,122.924452,202.72
s_298,114.715939,121.934098,198.00
s_299,110.417513,124.492518,200.38
s_300,118.379197,122.076944,196.12
s_301,112.082157,124.133625,199.34
s_302,124.586530,122.876568,201.47
s_303,118.995509,127.865737,198.70
s_304,107.344116,119.506031,203.41
s_305,108.297493,121.140356,201.08
s_306,120.410304,129.661289,189.44
s_307,116.976199,125.537837,194.23
s_308,115.528505,123.316416,197.89
s_309,118.225334,128.848368,193.02
s_310,113.093701,122.771720,198.51
s_311,111.230211,118.012657,210.39
s_312,114.185099,128.135430,197.63
s_313,114.501810,119.312841,204.93
s_314,113.821369,125.681886,202.60
s_315,119.295612,126.646098,200.62
s_316,122.631421,130.668333,196.99
s_317,122.691297,121.920591,203.64
s_318,111.556294,121.440285,201.77
s_319,113.058269,121.059545,200.48
s_320,116.828287,120.008913,209.67
s_321,105.693955,118.854708,202.07
s_322,116.862565,128.685888,200.20
s_323,108.949703,118.625360,199.44
s_324,109.454670,117.113190,199.02
s_325,119.256915,123.317243,196.93
s_326,106.187693,121.115966,202.34
s_327,121.636245,122.991295,192.11
s_328,113.996846,124.000324,198.98
s_329,104.267601,120.131702,200.72
s_330,116.629946,121.526410,192.30
s_331,109.282146,125.693156,209.04
s_332,117.070922,123.313614,192.94
s_333,108.083022,123.817006,200.03
s_334,112.403510,125.854935,206.30
s_335,118.350553,124.879618,193.72
s_336,115.285038,127.682643,195.71
s_337,115.357657,125.062715,199.53
s_338,109.854149,119.793416,199.54
s_339,106.684920,123.765602,196.71
s_340,114.932148,120.508874,201.47
s_341,110.010729,121.490652,201.95
s_342,112.798584,127.420758,196.73
s_343,110.830742,129.913103,198.69
s_344,127.959405,140.441284,13.89
s_345,109.338586,132.009381,199.12
s_346,122.198369,138.265163,16.51
s_347,109.670915,128.143225,210.71
s_348,129.545837,140.843489,11.13
s_349,132.939518,139.099592,8.70
s_350,113.103848,130.317778,201.77
s_351,124.653538,139.872181,5.53
s_352,106.578399,128.612858,200.90
s_353,135.338343,139.830410,8.09
s_354,133.526327,140.388284,9.91
s_355,116.374096,130.644370,191.14
s_356,131.375262,139.535994,8.37
s_357,112.084228,128.998200,203.91
s_358,129.716669,142.515510,8.18
s_359,137.111942,139.623504,8.65
s_360,110.816786,131.390374,195.36
s_361,124.831439,141.129324,19.23
s_362,131.385875,141.176559,5.90
s_363,125.999648,141.749143,14.23
s_364,115.311362,133.233375,195.44
s_365,107.953848,129.109695,204.48
s_366,121.641779,140.078985,20.39
s_367,122.606830,141.251425,16.72
s_368,108.956105,130.267476,201.54
s_369,126.822015,138.951152,13.97
s_370,123.244254,132.836205,194.79
s_371,113.026960,131.788820,198.72
s_372,118.005117,131.290465,203.89
s_373,120.445765,133.909695,190.41
s_374,130.005318,138.646432,9.84
s_375,123.697943,138.810640,14.09
s_376,121.112143,136.980377,128.45
s_377,120.288978,132.601381,198.76
s_378,128.466765,138.756243,8.68
s_379,105.512481,129.724426,205.70
s_380,125.408164,138.012311,15.37
s_381,119.732980,139.845422,32.08
s_382,116.315440,134.445788,195.37
s_383,107.358109,130.939847,200.90
s_384,119.724621,131.452661,199.35
s_385,115.630192,131.897228,196.68
s_386,137.346313,140.942364,10.28
s_387,118.412545,134.827364,191.88
